Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Lamar Stevens,23.3,CLE,Wing,440,12,-3.6%,83,+3.5%,8,-6.7%,89,+6.5%,19,-3.4%,6,-10.7%,10,-5.0%,5,-6.4%
Josh Hall,20.1,OKC,Wing,261,71,+1.3%,70,+2.0%,80,+3.5%,21,-5.0%,69,+1.7%,90,+7.1%,54,+0.2%,69,+1.1%
Mamadi Diakite,23.8,MIL,Big,107,0,-10.0%,0,-16.3%,0,-16.6%,42,-1.4%,2,-9.3%,87,+6.3%,3,-7.9%,7,-5.8%
Freddie Gillespie,23.4,TOR,Big,383,2,-6.2%,27,-2.3%,51,+0.2%,48,-0.5%,53,+0.3%,95,+9.5%,1,-11.3%,6,-6.1%
Killian Tillie,22.7,MEM,Big,131,71,+1.3%,79,+3.1%,9,-6.5%,1,-18.4%,2,-8.6%,96,+10.3%,98,+7.7%,99,+8.2%
Sean McDermott,24.0,MEM,Wing,100,0,-10.4%,20,-3.0%,1,-15.9%,100,+19.3%,2,-8.8%,10,-8.7%,1,-11.4%,0,-10.6%
Markus Howard,21.7,DEN,Point,119,8,-4.1%,76,+2.7%,11,-5.7%,96,+9.3%,40,-0.7%,63,+1.8%,1,-11.3%,1,-8.9%
Facundo Campazzo,29.6,DEN,Point,1369,23,-2.4%,30,-2.1%,17,-4.2%,31,-2.7%,18,-3.6%,31,-3.2%,49,-0.2%,44,-0.8%
Trent Forrest,22.4,UTA,Combo,225,42,-0.9%,55,+0.4%,99,+12.6%,15,-5.9%,99,+10.3%,22,-5.3%,10,-4.9%,9,-5.0%
Nathan Knight,23.1,ATL,Big,181,53,-0.0%,78,+2.9%,28,-2.4%,78,+4.2%,42,-0.5%,1,-20.6%,92,+4.4%,27,-2.0%
Anthony Gill,28.0,WAS,Big,179,46,-0.5%,10,-5.5%,67,+1.8%,76,+3.7%,77,+2.3%,69,+2.7%,29,-1.6%,50,-0.3%
Anthony Lamb,22.8,HOU,Forward,338,17,-2.9%,10,-5.4%,58,+0.8%,9,-7.5%,31,-1.8%,32,-2.9%,25,-2.0%,25,-2.2%
Brodric Thomas,23.8,CLE,Wing,321,24,-2.3%,49,-0.1%,8,-6.7%,72,+2.8%,13,-4.3%,21,-5.4%,55,+0.2%,40,-1.1%
Mason Jones,22.3,HOU,Combo,223,19,-2.8%,9,-5.5%,94,+7.0%,83,+4.9%,96,+6.3%,55,+0.9%,11,-4.8%,16,-3.3%
Naji Marshall,22.8,NOP,Wing,656,32,-1.7%,20,-3.1%,85,+4.2%,24,-4.2%,65,+1.3%,20,-5.7%,44,-0.6%,26,-2.1%
Gabriel Deck,25.7,OKC,Forward,174,82,+2.1%,24,-2.6%,99,+13.2%,99,+18.2%,100,+14.6%,98,+14.3%,8,-5.8%,34,-1.5%
